Place,Latitude,Longitude
Hanenberg,51.45000,5.82361
Hank,51.65972,5.80694
Hapert,51.36806,5.25694
Haps,51.68889,5.86111
Haren,51.80139,5.58472
Haring,51.69722,5.86806
Havelt,51.60417,5.56250
Hazelaar,51.52500,4.36806
Hazelberg,51.64028,5.53889
Hazeldonk,51.50417,4.73472
Hazenhurk,51.37083,5.56806
Hazennest,51.58750,5.10833
Hedel,51.51944,5.30000
Hedikhuizen,51.73333,5.18611
Heensche Molen,51.60278,4.24583
Heereind,51.53889,5.61667
Heerendonk,51.50000,5.52083
Heerle,51.51944,4.35972
Heers,51.39444,5.40000
Heerstaaien,51.51944,4.79167
Heesakker,51.61111,5.25833
Heesbeen,51.72083,5.12083
Heesboom,51.43750,4.89167
Heesch,51.73333,5.52917
Heeseind,51.72778,5.42361
Heeswijk,51.65139,5.47500
Heeze,51.38333,5.57222
Heezerenbosch,51.37361,5.55139
Heiderschoor,51.45139,5.58472
Heidveld,51.48611,5.73750
Heieind,51.44167,5.78194
Heiereind,51.35000,5.39722
Heihoefke,51.46667,4.33333
Heihoek,51.73056,5.78750
Heijbeek,51.48194,4.48056
Heijningen,51.65556,4.40833
Heikant,51.58333,5.95417
Heikantse Hoeve,51.67639,5.44583
Heiligeboom,51.54444,5.20556
Heimolen,51.46944,4.32222
Heische Wal,51.65833,5.52500
Heistraat,51.63889,4.89722
Heitrak,51.38056,5.85833
Helbroek,51.68056,5.93750
Helenaveen,51.39028,5.91667
Helkant,51.67500,4.75417
Hellegat,51.53611,4.69167
Helleneind,51.37083,5.21250
Helmond,51.48194,5.66111
Helvoirt,51.63194,5.23056
Helwijk,51.67639,4.43194
Hengstheuvel,51.67778,5.60833
Hermalen,51.60972,5.40278
Herpen,51.77222,5.64167
Herpt,51.72917,5.15556
Hersel,51.43750,5.67083
Hersend,51.66944,5.39722
Hespelaar,51.66528,4.81111
Het Bosch,51.39028,5.21944
Het Broek,51.45417,5.59306
Het Goordonk,51.45278,4.90833
Het Heike,51.42500,5.28194
Het Hoekske,51.51389,4.50139
Het Hool,51.51944,5.60972
Het Laar,51.51944,5.62361
Het Oosteind,51.54028,4.62778
Het Sas,51.46944,4.98472
Het Wild,51.76528,5.36667
Het Zand,51.63611,4.76806
Heukelom,51.57639,5.15694
Heusden,51.73472,5.13889
Heuvel,51.60972,5.56528
Heuvelberg,51.59167,5.62639
Heuvelstraat,51.51667,5.15972
Heuveltje,51.59722,5.13889
Hezelaar,51.63472,5.36806
Hilakker,51.48889,5.74306
Hild,51.53889,5.19722
Hill,51.74861,4.99306
Hilvarenbeek,51.48611,5.13750
Hoefkens,51.71806,5.69583
Hoek,51.66389,5.39306
Hoekdries,51.39444,5.33194
Hoekeinde,51.81667,4.96111
Hoekske,51.68889,4.65417
Hoeve,51.29306,5.42778
Hoeven,51.49861,5.79306
Hoeves,51.61111,5.48333
Hoevestein,51.48472,4.41250
Hollandsdiep,51.47222,4.45278
Holthees,51.57500,6.00556
Hommelse Hoeven,51.66111,5.50139
Hondseind,51.47361,4.97778
Hoogcasteren,51.40417,5.29444
Hooge Aard,51.55139,4.86806
Hooge Berkt,51.32639,5.33889
Hoogebiezen,51.59028,5.52361
Hooge Heide,51.73750,5.60417
Hoogeind,51.65833,5.90000
Hoogeloon,51.39722,5.26806
Hooge Mierde,51.38750,5.12917
Hoogen-Aarle,51.53056,5.71944
Hoogerheide,51.42361,4.32500
Hooge Wijst,51.72222,5.54167
Hooge Zwaluwe,51.68750,4.74444
Hooghout,51.61806,5.19722
Hoog Spul,51.47778,5.12778
Hoogstraat,51.35556,5.33472
Hoogveld,51.65833,5.66806
Hooidonk,51.50000,5.51250
Hool,51.49167,5.55139
Horst,51.53889,4.92778
Horzik,51.66389,5.35833
Hout,51.40833,5.55972
Houtens,51.50694,5.47500
Houterd,51.64306,5.44028
Houtgoor,51.49306,4.86111
Hugten,51.31944,5.66111
Huij,51.70694,5.90139
Huijbergen,51.43194,4.37639
Huisseling,51.78750,5.63889
Huisvennen,51.46528,4.90833
Huize Padua,51.58889,5.70278
Hulsbeek,51.65417,5.84444
Hulsdonk,51.47361,4.61528
Hulsel,51.38889,5.17778
Hulten,51.57222,4.95417
Hultje,51.67917,5.63056
Hurkske,51.58611,5.61944
Huygevoort,51.46528,5.22917
IJpelaar,51.57778,4.81528
Kaarschot,51.52083,4.72361
Kaathoven,51.69444,5.45278
Kaatsheuvel,51.65694,5.03472
Kade,51.63056,4.48472
Kalishoek,51.52222,4.87083
Kameren,51.66111,5.43750
Kantje,51.69722,5.55694
Kapeleind,51.61806,5.45972
Karstraat,51.54167,5.60833
Kasteren,51.58194,5.36806
Kattenberg,51.52083,5.25278
Kattenbosch,51.36667,5.14722
Katwijk,51.75000,5.87083
Kaweide,51.49306,5.76667
Keent,51.77083,5.69583
Keizershoek,51.44306,4.95417
Keldonk,51.58750,5.58472
Kerkeind,51.59722,5.21389
Kerkeinde,51.82361,4.93472
Kerkhof,51.37083,5.55833
Keske,51.51389,5.51389
Kessel,51.80417,5.40278
Keunenhoek,51.28611,5.58472
Kievitswaard,51.79306,4.82222
Kijkuit,51.53889,4.25833
Kille,51.77917,4.91111
Kinderbos,51.56250,5.31528
Kippereind,51.34861,5.16528
Kivitsbraak,51.52500,5.71389
Kladde,51.56111,4.26528
Klef,51.51111,5.79861
Klein-Bedaf,51.45417,4.97917
Klein Bruggen,51.47500,5.76389
Kleinder-Liempde,51.57222,5.33750
Klein-Dongen,51.64444,4.95000
Kleine Bottel,51.46111,5.77222
Kleine Koolwijk,51.77500,5.59444
Kleine Voort,51.50000,5.13056
Klein Loo,51.48472,5.12361
Klein-Oekel,51.50278,4.71806
Klein-Schoot,51.25417,5.57500
Klein-Vortum,51.61944,5.99028
Klein-Zundert,51.48056,4.65417
Kleuter,51.65972,5.65000
Klooster,51.52778,4.86111
Kloostereind,51.45417,5.70417
Klundert,51.66528,4.53472
Klutsdorp,51.55278,4.29444
Knegsel,51.39861,5.34583
Koevering,51.57639,4.26806
Koks,51.57361,5.65833
Koningshoeven,51.55000,5.11250
Kooldert,51.63472,5.62083
"Koolwijk, North Brabant",51.76944,5.60694
Korn,51.74861,4.95417
Kouwenberg,51.59722,5.08889
Kraanmeer,51.62778,5.60972
Kraanven,51.63056,5.04722
Kranenbroek,51.46111,5.59722
Kreek,51.62639,4.50972
Kreiel,51.43889,5.31667
Kreijl,51.39444,5.56389
Kreitsberg,51.71111,5.68333
Kremselen,51.55694,5.42639
Krolhoek,51.69167,5.92361
Kruisland,51.56944,4.40972
Kruisschot,51.48750,5.68472
Kruisstraat,51.51111,4.46528
Kuiksche Heide,51.69167,5.16111
Kuikseind,51.45972,5.25694
Kuilenrode,51.39861,5.13333
Kuivezand,51.58889,4.50556
Kulert,51.46250,5.82222
Kuundert,51.48889,5.74722
Kwaalburg,51.47639,4.94167
Kwartier,51.63056,4.43333
Laageind,51.66528,5.86944
Laag-Heukelom,51.56667,5.14444
Laag Spul,51.47778,5.14306
Laagstraat,51.63750,4.91944
Laar,51.30139,5.61111
Laarbroek,51.41389,5.73611
Lage Aard,51.56111,4.86528
Lage Berkt,51.31667,5.32639
Lagebiezen,51.59306,5.53194
Lageheide,51.72500,5.72500
Lagekant,51.73333,5.45000
Lage Mierde,51.40556,5.14722
Lagenheuvel,51.64722,5.66806
Lage Wijst,51.72361,5.51806
Lage Zwaluwe,51.70833,4.70417
LAir Pur,51.41944,4.93750
Lamperen,51.64583,5.83889
Landhorst,51.61806,5.79167
Landorp,51.38472,5.26944
Land van Kleef,51.63333,5.07917
Langenberg,51.60000,5.35000
Langenboom,51.70417,5.73056
Langendijk,51.51667,4.51250
Langereit,51.53889,4.90694
Langeschouw,51.48194,4.54028
Langeweg,51.64861,4.66528
Langlaar,51.48333,5.55417
Lankes,51.65139,5.65694
Ledeacker,51.63611,5.87083
Leemberg,51.38750,4.33611
Leende,51.35000,5.55417
Leenderstrijp,51.33333,5.54028
Leensel,51.40833,5.80556
Leg,51.49861,4.85972
Lennisheuvel,51.57222,5.31528
Lepelstraat,51.54861,4.27639
Leurke,51.59167,5.67361
Liefkenshoek,51.43194,4.95417
Liempde,51.56944,5.37222
Lierop,51.41944,5.67917
Lies,51.56944,4.71111
Lieseind,51.64167,5.40417
Lieshout,51.53750,5.59444
Liessel,51.41389,5.82083
Lieveld,51.51389,5.27917
Lijndonk,51.56944,4.85833
Linden,51.74861,5.83056
Lith,51.80556,5.43889
Lithoijen,51.80278,5.46389
Locht,51.24306,5.55972
Lochtenburg,51.68472,4.62083
Loeswijk,51.44306,5.63056
Loo,51.70694,5.57639
Looieind,51.60972,5.61806
Looienhoek,51.51667,5.00833
Loon,51.37917,5.44028
Looneind,51.49167,4.98194
Loon op Zand,51.62778,5.07500
Loonse Hoek,51.63056,5.10694
Loons Hoekje,51.66528,5.07500
Loosbroek,51.67917,5.50694
Loveren,51.33750,5.40833
Luchen,51.44444,5.60139
Luissel,51.59028,5.25833
Luitert,51.48750,4.65833
Luyksgestel,51.28889,5.32361
Maaijkant,51.46389,4.86944
Maalbergen,51.43889,4.65972
Maarheeze,51.31250,5.61667
Maashees,51.57083,6.03194
Maaskant,51.41806,5.30139
Maaskantje,51.65833,5.37083
Maatsehei,51.63194,5.65000
Macharen,51.80556,5.54444
Made,51.67639,4.79306
Maren,51.79444,5.38056
Maren-Kessel,51.79583,5.39306
Mariaheide,51.63333,5.58056
Mariahout,51.54167,5.57222
Mathijseind,51.49861,5.71667
Medevoort,51.46667,5.61806
Meemortel,51.26806,5.58333
Meer,51.37083,5.31250
Meeren,51.68750,5.75556
Meerven,51.44028,5.26667
Meeuwen,51.72917,5.01111
Megen,51.82222,5.56250
Meijldoorn,51.64167,5.37917
Meijsberg,51.50000,4.87361
Menzel,51.69583,5.58194
Merlenberg,51.45833,5.82500
Midbuul,51.26250,5.57361
Middelbeers,51.46667,5.25000
Middelrode,51.66389,5.41944
Mierlo,51.44028,5.61944
Milheeze,51.50139,5.77917
Mill,51.68750,5.77917
Milschot,51.53056,5.70000
